Year,OutputGap,CPI,InterestRate
2000,1.480745733,2.2,4.391767
2001,1.509902422,2.4,4.261783
2002,0.646154541,2.3,3.318592
2003,-0.317267616,2.1,2.333467
2004,0.17050827,2.2,2.106325
2005,0.415407401,2.2,2.184675
2006,2.037197172,2.2,3.079225
2007,3.38426371,2.2,4.277608
2008,2.167033001,3.3,4.634233
2009,-3.30777636,0.3,1.228358
2010,-2.192409431,1.6,0.81095
2011,-1.380312219,2.7,1.3906
2012,-2.861783999,2.5,0.5731834
2013,-3.737392151,1.3,0.2206667
2014,-3.242845496,0.4,0.2099333
2015,-2.612245364,0.2,-0.01936667
2016,-2.10529233,0.2,-0.2636917
2017,-0.933295023,1.5,-0.32905
2018,-0.385807211,1.8,-0.3220917
